url,slug,season,pattern,status
https://www.topyacht.net.au/results/mcys/2020-21/club/index.htm,mcys,2020-21,slug/season/club,404
https://www.topyacht.net.au/results/2020-2021/mcys/index.htm,mcys,2020-2021,season/slug,404
https://www.topyacht.net.au/results/mcys/2020-2021/club/index.htm,mcys,2020-2021,slug/season/club,404
https://www.topyacht.net.au/results/2021/mcys/index.htm,mcys,2021,season/slug,404
https://www.topyacht.net.au/results/mcys/2021/club/index.htm,mcys,2021,slug/season/club,404
https://www.topyacht.net.au/results/2021-22/mcys/index.htm,mcys,2021-22,season/slug,404
https://www.topyacht.net.au/results/mcys/2021-22/club/index.htm,mcys,2021-22,slug/season/club,404
https://www.topyacht.net.au/results/2021-2022/mcys/index.htm,mcys,2021-2022,season/slug,404
https://www.topyacht.net.au/results/mcys/2021-2022/club/index.htm,mcys,2021-2022,slug/season/club,404
https://www.topyacht.net.au/results/2022/mcys/index.htm,mcys,2022,season/slug,404
https://www.topyacht.net.au/results/mcys/2022/club/index.htm,mcys,2022,slug/season/club,404
https://www.topyacht.net.au/results/2022-23/mcys/index.htm,mcys,2022-23,season/slug,404
https://www.topyacht.net.au/results/mcys/2022-23/club/index.htm,mcys,2022-23,slug/season/club,404
https://www.topyacht.net.au/results/2022-2023/mcys/index.htm,mcys,2022-2023,season/slug,404
https://www.topyacht.net.au/results/mcys/2022-2023/club/index.htm,mcys,2022-2023,slug/season/club,404
https://www.topyacht.net.au/results/2023/mcys/index.htm,mcys,2023,season/slug,404
https://www.topyacht.net.au/results/mcys/2023/club/index.htm,mcys,2023,slug/season/club,404
https://www.topyacht.net.au/results/2023-24/mcys/index.htm,mcys,2023-24,season/slug,404
https://www.topyacht.net.au/results/mcys/2023-24/club/index.htm,mcys,2023-24,slug/season/club,404
https://www.topyacht.net.au/results/2023-2024/mcys/index.htm,mcys,2023-2024,season/slug,404
https://www.topyacht.net.au/results/mcys/2023-2024/club/index.htm,mcys,2023-2024,slug/season/club,404
https://www.topyacht.net.au/results/2024/mcys/index.htm,mcys,2024,season/slug,404
https://www.topyacht.net.au/results/mcys/2024/club/index.htm,mcys,2024,slug/season/club,404
https://www.topyacht.net.au/results/2024-25/mcys/index.htm,mcys,2024-25,season/slug,404
https://www.topyacht.net.au/results/mcys/2024-25/club/index.htm,mcys,2024-25,slug/season/club,404
https://www.topyacht.net.au/results/2024-2025/mcys/index.htm,mcys,2024-2025,season/slug,404
https://www.topyacht.net.au/results/mcys/2024-2025/club/index.htm,mcys,2024-2025,slug/season/club,404
https://www.topyacht.net.au/results/2025/mcys/index.htm,mcys,2025,season/slug,404
https://www.topyacht.net.au/results/mcys/2025/club/index.htm,mcys,2025,slug/season/club,404
https://www.topyacht.net.au/results/2025-26/mcys/index.htm,mcys,2025-26,season/slug,404
https://www.topyacht.net.au/results/mcys/2025-26/club/index.htm,mcys,2025-26,slug/season/club,404
https://www.topyacht.net.au/results/2025-2026/mcys/index.htm,mcys,2025-2026,season/slug,404
https://www.topyacht.net.au/results/mcys/2025-2026/club/index.htm,mcys,2025-2026,slug/season/club,404
https://www.topyacht.net.au/results/2019/pasc/index.htm,pasc,2019,season/slug,404
https://www.topyacht.net.au/results/pasc/2019/club/index.htm,pasc,2019,slug/season/club,404
https://www.topyacht.net.au/results/2019-20/pasc/index.htm,pasc,2019-20,season/slug,404
